sequence,arm,mean_iou,low_iou_frames,H10,valid_frames
bag05_indoor,native,0.827925317240,25,1,587
bag05_indoor,empty,0.844785181582,11,0,587
bag05_indoor,category,0.812963102073,31,1,587
ball07_indoor,native,0.365679729312,1288,8,2179
ball07_indoor,empty,0.848606223999,171,8,2179
ball07_indoor,category,0.361211751692,1312,10,2179
ball19_indoor,native,0.837602338699,19,1,1380
ball19_indoor,empty,0.844987777654,20,1,1380
ball19_indoor,category,0.835641785774,27,1,1380
beautifullight01_indoor,native,0.614816781458,270,4,910
beautifullight01_indoor,empty,0.556985673536,333,5,910
beautifullight01_indoor,category,0.551319199475,339,6,910
book06_indoor,native,0.656160005288,381,3,1545
book06_indoor,empty,0.804896937095,100,3,1545
book06_indoor,category,0.795399402462,72,3,1545
car01_indoor,native,0.390289898877,814,3,1402
car01_indoor,empty,0.386891624625,820,3,1402
car01_indoor,category,0.399540260412,798,3,1402
car02_indoor,native,0.693114717410,143,2,565
car02_indoor,empty,0.909802714475,14,1,565
car02_indoor,category,0.911408965086,14,1,565
colacan01_indoor,native,0.101155278999,2464,10,2801
colacan01_indoor,empty,0.267731177407,1919,10,2801
colacan01_indoor,category,0.268098246366,1920,10,2801
colacan04_indoor,native,0.276557505200,392,12,567
colacan04_indoor,empty,0.205346677884,439,13,567
colacan04_indoor,category,0.205336715806,439,13,567
container01_indoor,native,0.925852435378,4,0,621
container01_indoor,empty,0.924945817926,3,0,621
container01_indoor,category,0.924610761778,3,0,621
cup08_indoor,native,0.831394862945,103,1,1321
cup08_indoor,empty,0.887187803358,1,0,1321
cup08_indoor,category,0.892128990320,1,0,1321
cup10_indoor,native,0.866296953309,77,1,2147
cup10_indoor,empty,0.845272798500,83,1,2147
cup10_indoor,category,0.887822373752,36,2,2147
cup13_indoor,native,0.770102585800,111,3,1658
cup13_indoor,empty,0.794833935446,73,3,1658
cup13_indoor,category,0.799932484032,63,2,1658
egg_indoor,native,0.734777786595,523,9,3433
egg_indoor,empty,0.739299784758,532,7,3433
egg_indoor,category,0.717128116883,614,8,3433
flower02_wild,native,0.650547406320,100,2,467
flower02_wild,empty,0.660734914316,93,1,467
flower02_wild,category,0.654573178428,99,1,467
flower03_indoor,native,0.838305570153,0,0,547
flower03_indoor,empty,0.844401881076,0,0,547
flower03_indoor,category,0.833903457212,0,0,547
flowerbasket_indoor,native,0.762025010491,123,3,851
flowerbasket_indoor,empty,0.311425957939,555,3,851
flowerbasket_indoor,category,0.768730395633,116,2,851
ghostmask_indoor,native,0.716086083191,193,3,1025
ghostmask_indoor,empty,0.662925573401,260,4,1025
ghostmask_indoor,category,0.622829691775,312,4,1025
glass03_indoor,native,0.757593918071,111,3,570
glass03_indoor,empty,0.922061990592,11,0,570
glass03_indoor,category,0.485373516172,277,3,570
mobilephone01_indoor,native,0.729845150717,207,5,1217
mobilephone01_indoor,empty,0.602290611371,388,5,1217
mobilephone01_indoor,category,0.562231686033,435,6,1217
mobilephone02_indoor,native,0.851274441112,1,0,610
mobilephone02_indoor,empty,0.843760061691,3,0,610
mobilephone02_indoor,category,0.563045575806,208,1,610
notebook02_indoor,native,0.857997383354,48,1,2494
notebook02_indoor,empty,0.851815317525,76,2,2494
notebook02_indoor,category,0.853577553653,72,3,2494
