sequence,anchors,native_failures,category_failures,empty_failures,swapped_failures
ball06_indoor_2,8,7,8,8,8
bandlight_indoor_1,25,5,6,6,4
cube02_indoor_1,13,7,7,7,7
cube02_indoor_2,13,0,3,1,2
cube05_indoor_1,4,2,2,2,2
cube05_indoor_2,4,0,0,0,0
cube05_indoor_4,7,4,3,4,5
cube05_indoor_5,11,9,9,9,9
cube05_indoor_6,16,1,2,3,3
cup02_indoor_1,36,36,36,36,36
duck03_wild_1,6,0,0,0,0
duck03_wild_2,6,0,0,0,0
earphone01_indoor_1,20,2,1,1,2
humans_shirts_room_occ_1_A_2,13,6,6,6,6
humans_shirts_room_occ_1_B_1,12,0,1,1,0
robot_human_corridor_noocc_1_B_1,19,0,2,1,1
shoes02_indoor_1,13,12,12,12,12
shoes02_indoor_2,4,2,2,2,2
squirrel_wild_1,9,0,0,0,0
toy09_indoor_1,26,26,26,26,26
two_tennis_balls_3,4,3,4,2,3
yogurt_indoor_1,34,2,10,8,9
